"Horodateur","Country","Age bracket","Gender","Are you familiar with the Citroën C4 Cactus?","If you are, by which means have you heard about it?","What can you say about the C4 Cactus' design and appearance?","The inside of the Cactus, as well as its features, gets down to basics. What do you think about it?","In your opinion, what are the Cactus' qualities?","Then what are its flaws?","If you had to buy a car, would you consider buying a Cactus?","DS left Citroën in 2014 to become an independent division of PSA. Did you know about this?","What is your general opinion about the brand?","Among those three brands' current products, whose do you prefer?","According to you, what makes DS different from Citroën?"
"2015/12/04 8:29:48 PM UTC+1","Uk","60 to 70","Male","Yes","Advertisement;Owner of Citroen c4 cactus","Easy to drive good looking vehicle good price ","Yes","Design and appearance;Simplicity of the inside and features;Handling ability and behavior","Its target public is uncertain;It is inconsistent with Citroën's spirit","Yes","No","Nice looking ","DS","Not much "
"2015/12/04 8:30:37 PM UTC+1","England","40 to 50","Male","Yes","I own one!","Love it.","Love the interior, has plenty of gadgets in my opinion.","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides;Handling ability and behavior","None","Yes","Yes","It's has no interest for me.","Audi","Nothing,  don't understand why they separated DS brand."
"2015/12/04 8:38:34 PM UTC+1","England","60 to 70","Male","Yes","You are a Citroën enthusiast","Bought one :-)","So different to any other car","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides","None","Yes","Yes","Definitely Superb ;-)","DS","Not a lot"
"2015/12/04 9:12:38 PM UTC+1","turkey","60 to 70","Male","Yes","i own one","i like its individuality","i find it functional and has everything i need","Design and appearance;Originality","Number of features;limited options here in Turkey","Yes","No","it seems to offer a slight variation to standard models","Audi","its sportier feel"
"2015/12/04 9:42:39 PM UTC+1","United Kingdom","30 to 40","Male","Yes","It's an attractive car, I noticed it on the road","This is my favourite car in term of appearance, and interior design.","I love the interior and happy with simplifications to keep the car's weight down.","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides","Number of features;Citroen's reliability statistics are poor","Yes","Yes","I like the DS range. However, I associate it with Citroen.","Audi","I perceive it as Citroen's more luxurious range."
"2015/12/04 10:27:20 PM UTC+1","Scotland","40 to 50","Male","Yes","Automobile magazines or websites","I find it aesthetically pleasing enough to have bought one.","I like its simplicity","Design and appearance;Originality;Simplicity of the inside and features;Price","Its target public is uncertain","Yes","No","Bad  logo not clear between this an Citroen as a brand","BMW","Logo"
"2015/12/04 10:57:12 PM UTC+1","Norway","30 to 40","Male","Yes","Automobile magazines or websites;You are a Citroën enthusiast;Citroën shops/concessions","It's fun","It's awesome","Design and appearance;Product positioning, between SUVs and sedans;Simplicity of the inside and features;Handling ability and behavior;Price","Its target public is uncertain","Yes","No","goof","DS","stuff"
"2015/12/04 11:31:28 PM UTC+1","UK","40 to 50","Male","Yes","Automobile magazines or websites","Very practical. Takes out all those points I don't need eg electric rear windows, no split fold rear seat. Economical by taking out weight. Soft suspension.

","Like the touch screen. Free software updates to owners would be great eg sat nav

","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides","Its target public is uncertain","Yes","Yes","Needs to do more","DS","Not clear"
"2015/12/04 11:54:04 PM UTC+1","Great Britain","30 to 40","Male","Yes","Citroën shops/concessions","Superbly well balanced and hugely appealing","The style is perfect and there are some superb details. However, on the bad side, the lack of reach adjustment on the wheel undermines the whole set-up","Originality;""Air-bump"" panels on the sides","Interior","Yes","Yes","It's a Citroen - I think PSA have got these wrong.","DS","Marketing rubbish. The DS sub brand works within Citroen."
"2015/12/05 4:24:16 AM UTC+1","Brazil","20 to 30","Male","Yes","Automobile magazines or websites;You are a Citroën enthusiast","This car has the Citroen soul, I mean, you take care of every detail as always. Please keep in this way doing different cars.","It is simple but functional. The seats cause the feeling that there is nothing between the driver and passenger what is pleasant.","Design and appearance;Originality;Product positioning, between SUVs and sedans;Simplicity of the inside and features;""Air-bump"" panels on the sides","I cannot say.","Yes","Yes","In the first moment I was disappointed because I thought that DS would became the top models of Citroen. ","DS","Not much, both brands manufacture unique cars with the same particular details."
"2015/12/05 4:29:27 AM UTC+1","U.K. ","Over 70","Male","Yes","You are a Citroën enthusiast","Unique","Love it","Design and appearance;Originality;Price","Its target public is uncertain","Yes","No","More expensive","BMW","Better quality"
"2015/12/05 7:36:15 AM UTC+1","Denmark","40 to 50","Male","Yes","Automobile magazines or websites;own one :)","Love it","simpel and funksionel","Design and appearance;Originality;Handling ability and behavior;Price","non","Yes","Yes","looks nice","Audi","style"
"2015/12/05 9:37:06 AM UTC+1","United Kingdom","40 to 50","Male","Yes","Automobile magazines or websites;Owner","Distinctive and appealing both inside and outside","I like the simplicity","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides","Number of features","Yes","Yes","I like it will be a difficult task to establish a new premium French brand in the UK","Audi","Higher quality interiors"
"2015/12/05 12:32:09 PM UTC+1","UK","40 to 50","Male","Yes","Automobile magazines or websites;I own one","I love the design - modern, different, a robust but sympathetic personality","Comfortable and spacious in the front - less o in the back it seems, but I am always the driver. I like the clutter free environment and the touchscreen","Design and appearance;Originality;Simplicity of the inside and features;Handling ability and behavior;Price","Its target public is uncertain","Yes","Yes","I like the look of the DS3","DS","The badge"
"2015/12/05 12:49:19 PM UTC+1","Pays Bas","60 to 70","Male","Yes","You are a Citroën enthusiast","I think there are good ideas in this design","I think in design terms ""less is more"" !","Design and appearance;Originality;""Air-bump"" panels on the sides;Handling ability and behavior","more colors, I think the colors of the 2cv from the past","Yes","Yes","I think it's a marketing driven idea, I prefer good real french cars for a reasonable price, and wether its a Citroën or a DS: The name Citroën is more connected with pionering in car design with the 2cv and the DS. The label DS: I have my doubts upon this move.","DS","I am owner from a Citroën DS3 and its a fine design. For a DS label the firm must do a lot of work to justify a high price! I my opinion is the fundamental reason to buy a car is save driving from A to Z."
"2015/12/05 7:01:48 PM UTC+1","United Kingdomm","30 to 40","Male","Yes","Automobile magazines or websites;You are a Citroën enthusiast;Previous citroen car owner","Unique","Great, although there are a few small details missing","Design and appearance;Originality;Simplicity of the inside and features;Price","Its target public is uncertain;Badge - in the UK some people do not see the Citroen brand in a positive light","Yes","Yes","Hope it works","DS","Quality"
"2015/12/06 3:07:39 AM UTC+1","United Kingdom","50 to 60","Female","Yes","You are a Citroën enthusiast;Citroën shops/concessions","Love it - oodles of Citroen quirkiness","I'm completely in agreement.  Too many gadgets distract from the driving experience","Design and appearance;Originality;Simplicity of the inside and features;""Air-bump"" panels on the sides","Number of features;Its target public is uncertain","Yes","Yes","Not my personal taste but others rave about it","DS","Stronger more distinct brand image and marketing of the products"
"2015/12/06 1:05:16 PM UTC+1","Poland","40 to 50","Male","Yes","Waiting for delivery of a cactus","Unique","Clean and simple layout","Design and appearance;Originality;Simplicity of the inside and features;Price","Its target public is uncertain","Yes","Yes","Interesting ","BMW","Luxurious styling attempts"
"2015/12/06 1:26:58 PM UTC+1","england","50 to 60","Male","Yes","Automobile magazines or websites;Advertisement","Robust","retro yet modern","Originality;""Air-bump"" panels on the sides;Price","Its target public is uncertain","Yes","No","no opinion","BMW","Quality"
"2015/12/06 4:20:43 PM UTC+1","uk","50 to 60","Male","Yes","Have one","Unique ","Well thought out ","""Air-bump"" panels on the sides","Its target public is uncertain","Yes","No","Quality built ","DS","Well built"
